"Game Number", "Game Length", "Reverse order"
1, 30, 100
2, 29, 99
3, 31, 98
4, 16, 97
5, 24, 96
6, 29, 95
7, 28, 94
8, 117, 93
9, 42, 92
10, 23, 91
11, 40, 90
12, 15, 89
13, 18, 88
14, 51, 87
15, 15, 86
16, 19, 85
17, 30, 84
18, 25, 83
19, 17, 82
20, 55, 81
21, 20, 80
22, 12, 79
23, 39, 78
24, 25, 77
25, 56, 76
26, 61, 75
27, 77, 74
28, 34, 73
29, 14, 72
30, 8, 71
31, 31, 70
32, 34, 69
33, 22, 68
34, 12, 67
35, 52, 66
36, 50, 65
37, 24, 64
38, 20, 63
39, 91, 62
40, 33, 61
41, 27, 60
42, 25, 59
43, 83, 58
44, 12, 57
45, 21, 56
46, 38, 55
47, 20, 54
48, 24, 53
49, 37, 52
50, 18, 51
51, 56, 50
52, 20, 49
53, 47, 48
54, 51, 47
55, 22, 46
56, 46, 45
57, 24, 44
58, 35, 43
59, 28, 42
60, 12, 41
61, 28, 40
62, 43, 39
63, 50, 38
64, 37, 37
65, 127, 36
66, 11, 35
67, 12, 34
68, 22, 33
69, 25, 32
70, 57, 31
71, 53, 30
72, 38, 29
73, 33, 28
74, 16, 27
75, 35, 26
76, 29, 25
77, 23, 24
78, 21, 23
79, 11, 22
80, 31, 21
81, 12, 20
82, 37, 19
83, 40, 18
84, 29, 17
85, 14, 16
86, 15, 15
87, 38, 14
88, 74, 13
89, 19, 12
90, 121, 11
91, 52, 10
92, 25, 9
93, 14, 8
94, 12, 7
95, 31, 6
96, 25, 5
97, 16, 4
98, 19, 3
99, 54, 2
100, 24, 1
